Questions,Category,text,label
Grade the usability of a mobile application.,BT5,grade the usability of a mobile application.,4
"FinFET technology is developed to minimize some of the shortcomings in planar MOSFETs. With the aid of diagrams, show the differences between these TWO (2) transistors. ",BT3,"finfet technology is developed to minimize some of the shortcomings in planar mosfets. with the aid of diagrams, show the differences between these two (2) transistors.",2
Group these historical figures based on their roles in the revolution.,BT2,group these historical figures based on their roles in the revolution.,1
Write a short note on sequential memories.,BT1,write a short note on sequential memories.,0
Write a python program to create a queue class using list methods.,BT3,write a python program to create a queue class using list methods.,2
Find the initial and final value of the given function.,BT4,find the initial and final value of the given function.,3
Explain Nyquist Stability Criterion.,BT1,explain nyquist stability criterion.,0
"A multinational corporation is evaluating the cybersecurity posture of its global network infrastructure. Evaluate the effectiveness of current cybersecurity measures, including network segmentation, access controls, and threat detection mechanisms. Propose cybersecurity best practices and risk management strategies to strengthen the organization's cyber resilience and protect against evolving threats.",BT5,"a multinational corporation is evaluating the cybersecurity posture of its global network infrastructure. evaluate the effectiveness of current cybersecurity measures, including network segmentation, access controls, and threat detection mechanisms. propose cybersecurity best practices and risk management strategies to strengthen the organization's cyber resilience and protect against evolving threats.",4
Devise a system for automatically analyzing network traffic patterns to detect and prevent insider threats and unauthorized access in organizational networks.,BT6,devise a system for automatically analyzing network traffic patterns to detect and prevent insider threats and unauthorized access in organizational networks.,5
Define symmetrical balance and asymmetrical balance. Draw an example for each. ,BT2,define symmetrical balance and asymmetrical balance. draw an example for each.,1
Create a new framework for privacy-preserving data mining that enables collaborative analysis of sensitive datasets while protecting individual privacy.,BT6,create a new framework for privacy-preserving data mining that enables collaborative analysis of sensitive datasets while protecting individual privacy.,5
Categorize the different types of consumer behaviors.,BT4,categorize the different types of consumer behaviors.,3
With suitable diagram explain the Armature reaction in Synchronous Machine.,BT1,with suitable diagram explain the armature reaction in synchronous machine.,0
Discuss FOUR (4) common modern construction problems to anticipate. ,BT2,discuss four (4) common modern construction problems to anticipate.,1
Demonstrate the steps of a physics phenomenon through computer simulations.,BT3,demonstrate the steps of a physics phenomenon through computer simulations.,2
Write a note on memory hierarchy.,BT1,write a note on memory hierarchy.,0
Construct the binary search tree (BST) from the following elements.,BT3,construct the binary search tree (bst) from the following elements.,2
Explain SCTP protocol in detail.,BT1,explain sctp protocol in detail.,0
Can you recite a famous quote from a philosopher?,BT1,can you recite a famous quote from a philosopher?,0
Devise a system for monitoring and controlling air quality in urban environments to mitigate pollution-related health risks and improve overall public health.,BT6,devise a system for monitoring and controlling air quality in urban environments to mitigate pollution-related health risks and improve overall public health.,5
State the Bernoulli is theorem.,BT1,state the bernoulli is theorem.,0
Draw and explain general structure of PAL.,BT1,draw and explain general structure of pal.,0
Explain combination die with schematic sketch.,BT1,explain combination die with schematic sketch.,0
Propose a framework for implementing explainable AI (XAI) techniques in cybersecurity systems to improve threat detection and response.,BT6,propose a framework for implementing explainable ai (xai) techniques in cybersecurity systems to improve threat detection and response.,5
Explain the need of level shifting stage in op-amp. Explain any one circuit for the same.,BT1,explain the need of level shifting stage in op-amp. explain any one circuit for the same.,0
Calculate the rate of heat loss from a thermoflask if the polished silver surfaces have emissivities of 0.,BT3,calculate the rate of heat loss from a thermoflask if the polished silver surfaces have emissivities of 0.,2
A pipe of diameter 300 mm and length 3500 m is used for transmission of power by water.,BT3,a pipe of diameter 300 mm and length 3500 m is used for transmission of power by water.,2
Explain properties of insulating materials which are used in Capacitor and Rotating Machines.,BT1,explain properties of insulating materials which are used in capacitor and rotating machines.,0
Explain Gauss elimination method for solving simultaneous equations.,BT2,explain gauss elimination method for solving simultaneous equations.,1
"Explain the concept of urban drainage systems, discussing components such as stormwater sewers, culverts, and retention ponds.",BT2,"explain the concept of urban drainage systems, discussing components such as stormwater sewers, culverts, and retention ponds.",1
"With the aid of a diagram, explain LOCOS. ",BT2,"with the aid of a diagram, explain locos.",1
Describe the role of enzymes in biochemical reactions.,BT1,describe the role of enzymes in biochemical reactions.,0
Describe the texture of sand between your fingers.,BT2,describe the texture of sand between your fingers.,1
Explain the construction and working of three phase Synchronous motor?,BT1,explain the construction and working of three phase synchronous motor?,0
"For international marketers, economic factors are important. Explain why economic factors are important to them. ",BT2,"for international marketers, economic factors are important. explain why economic factors are important to them.",1
Explain the function of a shift register.,BT2,explain the function of a shift register.,1
A 3 phase 80 kV transmission line is supported by 3 suspension insulators.,BT1,a 3 phase 80 kv transmission line is supported by 3 suspension insulators.,0
List different types of fuses and Explain working of any one in detail.,BT2,list different types of fuses and explain working of any one in detail.,1
List reserved words in C programming.,BT1,list reserved words in c programming.,0
Distinguish between the following giving suitable examples,BT4,distinguish between the following giving suitable examples,3
Describe the purpose of a retaining wall in soil mechanics?,BT1,describe the purpose of a retaining wall in soil mechanics?,0
Name and briefly describe three types of column chromatography used in protein purification.,BT2,name and briefly describe three types of column chromatography used in protein purification.,1
Devise a method for automatically detecting and correcting errors in medical imaging datasets to improve the accuracy of diagnostic models.,BT6,devise a method for automatically detecting and correcting errors in medical imaging datasets to improve the accuracy of diagnostic models.,5
Describe the features of a Gothic cathedral architecture.,BT1,describe the features of a gothic cathedral architecture.,0
Design a next-generation prosthetic limb with advanced sensors and actuators for enhanced mobility and natural movement.,BT6,design a next-generation prosthetic limb with advanced sensors and actuators for enhanced mobility and natural movement.,5
"Compare the energy efficiency of different refrigeration cycles (e.g., vapor compression cycle, absorption cycle, Stirling cycle) in cooling applications.",BT4,"compare the energy efficiency of different refrigeration cycles (e.g., vapor compression cycle, absorption cycle, stirling cycle) in cooling applications.",3
Use a manual to calculate an employee's vacation time.,BT3,use a manual to calculate an employee's vacation time.,2
Derive the expression for rise in pressure in the impeller of a centrifugal pump.,BT4,derive the expression for rise in pressure in the impeller of a centrifugal pump.,3
"Jason spends all his income on meat and bread. Assume bread as a giffen good, draw Jason's price consumption curve and demand curve for bread when the price of bread falls. Support your answer with explanation for 3 consumption bundles. ",BT3,"jason spends all his income on meat and bread. assume bread as a giffen good, draw jason's price consumption curve and demand curve for bread when the price of bread falls. support your answer with explanation for 3 consumption bundles.",2
Summarize the cultural significance of a festival.,BT2,summarize the cultural significance of a festival.,1
Find the greatest length of a mild steel rod 25 mm X 25 mm which can be used as a compression member with one end fixed and the other endfree to carry a working load of 35 kN.,BT3,find the greatest length of a mild steel rod 25 mm x 25 mm which can be used as a compression member with one end fixed and the other endfree to carry a working load of 35 kn.,2
What steps do you take to identify missing information in a complex historical analysis?,BT4,what steps do you take to identify missing information in a complex historical analysis?,3
How can you use your understanding of cultural anthropology to interpret rituals in a new society?,BT3,how can you use your understanding of cultural anthropology to interpret rituals in a new society?,2
Define Mineral.,BT1,define mineral.,0
Give an example of using statistical methods to analyze social trends.,BT3,give an example of using statistical methods to analyze social trends.,2
Describe the major clinical differences between visceral and somatic pain,BT2,describe the major clinical differences between visceral and somatic pain,1
Construct an executive remuneration package using the remuneration framework as a guide. ,BT3,construct an executive remuneration package using the remuneration framework as a guide.,2
Comment on Unconfined Compression test is special case of Triaxial Compression test.,BT4,comment on unconfined compression test is special case of triaxial compression test.,3
List FIVE (5) activities that you would use in the set-induction stage of a reading lesson Keeping our rivers clean. ,BT1,list five (5) activities that you would use in the set-induction stage of a reading lesson keeping our rivers clean.,0
"Contrast the features and performance of different reinforcement materials (e.g., steel rebar, fiberglass rebar, carbon fiber rebar) in reinforced concrete structures.",BT4,"contrast the features and performance of different reinforcement materials (e.g., steel rebar, fiberglass rebar, carbon fiber rebar) in reinforced concrete structures.",3
Use statistical analysis to determine the relationship between variables in a survey.,BT3,use statistical analysis to determine the relationship between variables in a survey.,2
With suitable circuit diagram and phasor diagram explain one wattmeter method for measurement of reactive power.,BT1,with suitable circuit diagram and phasor diagram explain one wattmeter method for measurement of reactive power.,0
What is concurrency control?,BT1,what is concurrency control?,0
Suppose the following sequence lists the nodes of a binary tree in preorder and inorder respectively.,BT4,suppose the following sequence lists the nodes of a binary tree in preorder and inorder respectively.,3
What is Remote sensing?,BT1,what is remote sensing?,0
Briefly explain how the aggregation processes could improve the water quality in a water treatment plant.,BT2,briefly explain how the aggregation processes could improve the water quality in a water treatment plant.,1
"In maintaining concrete quality, identify SEVEN (7) good practices on site. ",BT1,"in maintaining concrete quality, identify seven (7) good practices on site.",0
If 32uxx y =â  find its harmonic conjugate and hence determine F( z) in terms in z.,BT3,if 32uxx y =â  find its harmonic conjugate and hence determine f( z) in terms in z.,2
"Assume that Saudi Arabia is currently operating at the natural level of output. However, due to the political uncertainty it leads to an increase in oil price. Discuss the effects of the event on the price level, unemployment and output in the long run and short run in Saudi Arabia by using appropriate diagrams. Besides, suggest the policy that can be implemented by Saudi Arabia in order to achieve long run equilibrium after the event. ",BT6,"assume that saudi arabia is currently operating at the natural level of output. however, due to the political uncertainty it leads to an increase in oil price. discuss the effects of the event on the price level, unemployment and output in the long run and short run in saudi arabia by using appropriate diagrams. besides, suggest the policy that can be implemented by saudi arabia in order to achieve long run equilibrium after the event.",5
Perform depth first search algorithm on the following graph.,BT3,perform depth first search algorithm on the following graph.,2
"Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",BT2,"briefly compare this way of testing the satisfiability of to the more standard way using sld resolution, as in prolog",1
What are the benefits of increased productivity?,BT1,what are the benefits of increased productivity?,0
An unbiased coin is tossed five times.,BT3,an unbiased coin is tossed five times.,2
Explain the six regimes of the pool boiling curve with the help of a neat diagram.,BT1,explain the six regimes of the pool boiling curve with the help of a neat diagram.,0
Discuss in detail with a case history how geological investigations have helped for proper site of Dam.,BT4,discuss in detail with a case history how geological investigations have helped for proper site of dam.,3
Solve a complex optimization problem related to material selection for structural components and evaluate the performance criteria.,BT3,solve a complex optimization problem related to material selection for structural components and evaluate the performance criteria.,2
Describe the factors affecting premature building decay. ,BT2,describe the factors affecting premature building decay.,1
Draw and explain Ring Counter.,BT1,draw and explain ring counter.,0
Formulate an algorithm for optimizing routing decisions in wireless mesh networks to minimize latency and maximize throughput.,BT6,formulate an algorithm for optimizing routing decisions in wireless mesh networks to minimize latency and maximize throughput.,5
"Formulate an algorithm for automatically generating personalized movie recommendations based on user preferences, viewing history, and social interactions.",BT6,"formulate an algorithm for automatically generating personalized movie recommendations based on user preferences, viewing history, and social interactions.",5
How can you generate innovative ideas for an environmental awareness campaign?,BT6,how can you generate innovative ideas for an environmental awareness campaign?,5
Draw and label the model of Karl Weick's Theory of Organizing. ,BT2,draw and label the model of karl weick's theory of organizing.,1
Solve a hypothetical scenario involving distributed denial of service (DDoS) attacks on a network infrastructure and propose effective countermeasures.,BT3,solve a hypothetical scenario involving distributed denial of service (ddos) attacks on a network infrastructure and propose effective countermeasures.,2
List the levels in Bloom's Taxonomy.,BT1,list the levels in bloom's taxonomy.,0
What is orthographic projection?,BT1,what is orthographic projection?,0
Explain function over loading & function overriding in detail.,BT1,explain function over loading & function overriding in detail.,0
Tell me about a place you've always wanted to visit and why.,BT1,tell me about a place you've always wanted to visit and why.,0
What is the Importance of Good Communication Skills?,BT1,what is the importance of good communication skills?,0
List FIVE (5) elements in downward communication.,BT1,list five (5) elements in downward communication.,0
Write short note on RS232 standard.,BT1,write short note on rs232 standard.,0
Assess the reliability of remote sensing techniques for monitoring land subsidence and ground movement.,BT5,assess the reliability of remote sensing techniques for monitoring land subsidence and ground movement.,4
"Consider you're troubleshooting a network outage in an office environment. Describe the steps you would take to diagnose the issue, starting from identifying the physical layer components to troubleshooting network protocols.",BT2,"consider you're troubleshooting a network outage in an office environment. describe the steps you would take to diagnose the issue, starting from identifying the physical layer components to troubleshooting network protocols.",1
A PIC 18 is connected to the 4MHz crystal oscillator.,BT3,a pic 18 is connected to the 4mhz crystal oscillator.,2
Define the characteristics of op-amp,BT1,define the characteristics of op-amp,0
Provide a tabulated list of your favorite books and their authors.,BT1,provide a tabulated list of your favorite books and their authors.,0
"Evaluate the reliability of different error correction codes (e.g., Reed-Solomon, Turbo codes, LDPC codes) in mitigating channel noise and improving data transmission reliability.",BT4,"evaluate the reliability of different error correction codes (e.g., reed-solomon, turbo codes, ldpc codes) in mitigating channel noise and improving data transmission reliability.",3
Interpret the market trends to make investment decisions.,BT2,interpret the market trends to make investment decisions.,1
Grade the performance of a student in a class.,BT5,grade the performance of a student in a class.,4
Draw drain characteristics of for n channel JFET.,BT1,draw drain characteristics of for n channel jfet.,0
Write note on High temperature alloy.,BT1,write note on high temperature alloy.,0
How do you create a visually appealing website layout for a travel blog?,BT6,how do you create a visually appealing website layout for a travel blog?,5
Invent a new technique for mitigating multipath fading effects in wireless communication channels using cooperative diversity and beamforming.,BT6,invent a new technique for mitigating multipath fading effects in wireless communication channels using cooperative diversity and beamforming.,5
Recognize the syntax for setting up a MATLAB script for simulating a communication system?,BT1,recognize the syntax for setting up a matlab script for simulating a communication system?,0
Draw and explain V to I convertor.,BT1,draw and explain v to i convertor.,0
Do you think that this statement conveys the idea that i am trying to portray,BT5,do you think that this statement conveys the idea that i am trying to portray,4
What is min heap?,BT1,what is min heap?,0
Compare Zener breakdown with avalanche breakdown in a pn junction and state THREE differences. Name a device that utilizes each breakdown mode. ,BT4,compare zener breakdown with avalanche breakdown in a pn junction and state three differences. name a device that utilizes each breakdown mode.,3
Explain carnot cycle with neat diagram.,BT1,explain carnot cycle with neat diagram.,0
"Interpret the concept of digital signatures in cryptography, discussing their role in ensuring data integrity and authenticity.",BT2,"interpret the concept of digital signatures in cryptography, discussing their role in ensuring data integrity and authenticity.",1
State the five assumptions of an ideal diode. ,BT1,state the five assumptions of an ideal diode.,0
Make a paper-mache map to include relevant information about an event.,BT3,make a paper-mache map to include relevant information about an event.,2
Analyze the potential security vulnerabilities introduced by machine learning models in autonomous systems.,BT3,analyze the potential security vulnerabilities introduced by machine learning models in autonomous systems.,2
How do you infer the cultural influences on a piece of literature?,BT4,how do you infer the cultural influences on a piece of literature?,3
Analyze the trade-offs between using rule-based systems and machine learning approaches for decision-making in expert systems.,BT3,analyze the trade-offs between using rule-based systems and machine learning approaches for decision-making in expert systems.,2
Determine the Fermi level (in eV) of the doped semiconductor and draw the energy band diagram. ,BT3,determine the fermi level (in ev) of the doped semiconductor and draw the energy band diagram.,2
"Explain the SOC, EOC, & OE pin of ADC 0809.",BT1,"explain the soc, eoc, & oe pin of adc 0809.",0
Debate the ethical considerations of using autonomous robots for demolition and deconstruction of buildings.,BT5,debate the ethical considerations of using autonomous robots for demolition and deconstruction of buildings.,4
Explain the linked  implementation of stack with suitable example.,BT4,explain the linked  implementation of stack with suitable example.,3
Explain the activities involved in the building process. ,BT2,explain the activities involved in the building process.,1
Draw the block diagram of Op Amp and explain in detail.,BT2,draw the block diagram of op amp and explain in detail.,1
"Compare the performance of different material removal processes (e.g., turning, milling, grinding) in terms of surface finish quality and machining efficiency.",BT4,"compare the performance of different material removal processes (e.g., turning, milling, grinding) in terms of surface finish quality and machining efficiency.",3
Why not to start dc series motor on no load?,BT4,why not to start dc series motor on no load?,3
Implement a program for maintaining a database of student records using Files.,BT3,implement a program for maintaining a database of student records using files.,2
Can you integrate natural language processing into a customer support chatbot?,BT6,can you integrate natural language processing into a customer support chatbot?,5
Write a program that returns the size in bytes of a program entered on the command line.,BT4,write a program that returns the size in bytes of a program entered on the command line.,3
Design a building according to given specifications,BT6,design a building according to given specifications,5
"Suppose you're troubleshooting a voice quality issue in a cellular network. Describe the key performance indicators (KPIs) and metrics you would analyze to identify factors affecting call drops, latency, and audio distortion.",BT2,"suppose you're troubleshooting a voice quality issue in a cellular network. describe the key performance indicators (kpis) and metrics you would analyze to identify factors affecting call drops, latency, and audio distortion.",1
What research questions would you formulate for a sociology study on urbanization?,BT6,what research questions would you formulate for a sociology study on urbanization?,5
Market research firms and product review sites are examples of infomediary. Discuss the role and benefits of an infomediary model in the online distribution system. ,BT2,market research firms and product review sites are examples of infomediary. discuss the role and benefits of an infomediary model in the online distribution system.,1
Critically examine the strengths and weaknesses of the positivist paradigm,BT4,critically examine the strengths and weaknesses of the positivist paradigm,3
Show the method to calculate the volume of a cylinder.,BT3,show the method to calculate the volume of a cylinder.,2
Summarize the events leading up to the conflict.,BT2,summarize the events leading up to the conflict.,1
How could old transportation methods be combined to create a sustainable urban mobility solution?,BT6,how could old transportation methods be combined to create a sustainable urban mobility solution?,5
State the significance of âScoreâ in the BlastX alignment. ,BT2,state the significance of âscoreâ in the blastx alignment.,1
A 16 km long transmission line consists of a pair of conductors 1.,BT3,a 16 km long transmission line consists of a pair of conductors 1.,2
Support your stance on the benefits of renewable energy.,BT5,support your stance on the benefits of renewable energy.,4
Describe Circumstances under which you would choose to use Embedded SQL than normal SQL or only a general purposeprogramming Language.,BT4,describe circumstances under which you would choose to use embedded sql than normal sql or only a general purposeprogramming language.,3
Write a short note on ALU IC 74181.,BT1,write a short note on alu ic 74181.,0
Explain the working of an universal motor with help of suitable diagram.,BT1,explain the working of an universal motor with help of suitable diagram.,0
Illustrate with neat sketches common types of welded joints.,BT1,illustrate with neat sketches common types of welded joints.,0
Provide justifications as to why integrity and reliability is important in a company's annual report and accounts (ARAS) from corporate governance point of view.,BT5,provide justifications as to why integrity and reliability is important in a company's annual report and accounts (aras) from corporate governance point of view.,4
How would you classify the different types of economic indicators?,BT4,how would you classify the different types of economic indicators?,3
Explain the working of a half-adder? Draw its logic diagram.,BT1,explain the working of a half-adder? draw its logic diagram.,0
How can we combine and abstract facts about a software system to create new knowledge?,BT6,how can we combine and abstract facts about a software system to create new knowledge?,5
Explain what is a datum level as used in site surveying for a building project. ,BT2,explain what is a datum level as used in site surveying for a building project.,1
Design a machine to perform a specific task.,BT6,design a machine to perform a specific task.,5
State the formula for the area of a circle,BT1,state the formula for the area of a circle,0
Write short note on an Isolation Amplifier.,BT1,write short note on an isolation amplifier.,0
Implement the following function using multiplexer,BT3,implement the following function using multiplexer,2
Recall a time when you overcame a significant challenge.,BT1,recall a time when you overcame a significant challenge.,0
How do you make a choice between two potential travel destinations?,BT5,how do you make a choice between two potential travel destinations?,4
Predict the potential consequences of that economic policy.,BT2,predict the potential consequences of that economic policy.,1
"Using Tom Duncan's levels of brand relationship intensity, explain the relationship between Apple iPhone and its customers.",BT2,"using tom duncan's levels of brand relationship intensity, explain the relationship between apple iphone and its customers.",1
How do you design an energy-efficient home?,BT6,how do you design an energy-efficient home?,5
What is OBST in data structure?,BT1,what is obst in data structure?,0
How can you use your understanding of cultural anthropology to interpret cultural practices?,BT3,how can you use your understanding of cultural anthropology to interpret cultural practices?,2
Explain Soft and hard solder.,BT2,explain soft and hard solder.,1
Name FOUR enzymes in DNA replication and state their functions. ,BT2,name four enzymes in dna replication and state their functions.,1
Explain with neat sketch tube drawing process.,BT1,explain with neat sketch tube drawing process.,0
Your company is developing a chatbot for customer support services. Compare the performance of rule-based chatbots versus machine learning-based chatbots in understanding natural language queries and providing accurate responses to users.,BT4,your company is developing a chatbot for customer support services. compare the performance of rule-based chatbots versus machine learning-based chatbots in understanding natural language queries and providing accurate responses to users.,3
Define the following terms with suitable example with respect to Binary tree:,BT1,define the following terms with suitable example with respect to binary tree:,0
Calculate the pressure exerted by a gas using the ideal gas law.,BT3,calculate the pressure exerted by a gas using the ideal gas law.,2
Briefly describe TWO mating methods of commercial importance for the production of fertilised eggs from breeder birds. ,BT2,briefly describe two mating methods of commercial importance for the production of fertilised eggs from breeder birds.,1
Can you generalize from historical architectural styles to predict future urban designs?,BT6,can you generalize from historical architectural styles to predict future urban designs?,5
How would you break down a complex architectural design into its key features?,BT4,how would you break down a complex architectural design into its key features?,3
Describe the working principle of capacitive humidity sensors with diagram.,BT2,describe the working principle of capacitive humidity sensors with diagram.,1
Can you generalize from historical fashion cycles to predict future style trends?,BT6,can you generalize from historical fashion cycles to predict future style trends?,5
Show the process of calculating the area of a parallelogram.,BT3,show the process of calculating the area of a parallelogram.,2
What is difference in between Expression and Equation?,BT1,what is difference in between expression and equation?,0
Show the procedure to calculate the volume of a sphere.,BT3,show the procedure to calculate the volume of a sphere.,2
Two large parallel plates with emissivities 0.,BT3,two large parallel plates with emissivities 0.,2
What is semiconductor memory?,BT1,what is semiconductor memory?,0
Write the steps involved in programming compare mode of CCP1 module in PIC18F458.,BT1,write the steps involved in programming compare mode of ccp1 module in pic18f458.,0
What is Semaphore?,BT1,what is semaphore?,0
Explain why the intrinsic carrier concentration of Ge is higher than Si at T = 300 K. ,BT2,explain why the intrinsic carrier concentration of ge is higher than si at t = 300 k.,1
"Contrast the principles of imperative and functional programming paradigms, discussing their suitability for concurrent and parallel programming tasks.",BT4,"contrast the principles of imperative and functional programming paradigms, discussing their suitability for concurrent and parallel programming tasks.",3
Explain winding number method.,BT2,explain winding number method.,1
Name three famous inventors and their inventions.,BT1,name three famous inventors and their inventions.,0
What are different factors affecting sag of transmission line?,BT1,what are different factors affecting sag of transmission line?,0
Explain the following number predicates using suitable example.,BT1,explain the following number predicates using suitable example.,0
Explain Benson Boiler with a schematic diagram.,BT1,explain benson boiler with a schematic diagram.,0
What might happen if you combined...?,BT6,what might happen if you combined...?,5
"Evaluate the impact of different fading models (e.g., Rayleigh fading, Rician fading, Nakagami fading) on the performance of wireless communication systems.",BT4,"evaluate the impact of different fading models (e.g., rayleigh fading, rician fading, nakagami fading) on the performance of wireless communication systems.",3
Explain in brief what is folding.,BT1,explain in brief what is folding.,0
List down ALL types of brick wall and give explanations for each type of the wall. ,BT2,list down all types of brick wall and give explanations for each type of the wall.,1
Demonstrate the correct usage of the scientific method in interpreting experimental results.,BT3,demonstrate the correct usage of the scientific method in interpreting experimental results.,2
Assess the feasibility of using unmanned aerial vehicles (UAVs) for inspecting and monitoring tall structures and bridges.,BT5,assess the feasibility of using unmanned aerial vehicles (uavs) for inspecting and monitoring tall structures and bridges.,4
There are TWO (2) common methods used in the semiconductor industry to fabricate single crystal silicon. Analyze the advantage and disadvantage of both methods. ,BT4,there are two (2) common methods used in the semiconductor industry to fabricate single crystal silicon. analyze the advantage and disadvantage of both methods.,3
How do you design an environmentally conscious public building for a community center?,BT6,how do you design an environmentally conscious public building for a community center?,5
Define pyrolysis and cracking in petroleum refining process.,BT3,define pyrolysis and cracking in petroleum refining process.,2
Debate the ethical implications of data mining techniques in online advertising for user privacy and autonomy.,BT5,debate the ethical implications of data mining techniques in online advertising for user privacy and autonomy.,4
Express your opinion of 'Drugs in Sport' through poetry.,BT2,express your opinion of 'drugs in sport' through poetry.,1
What is a deadlock?,BT1,what is a deadlock?,0
Write a short note on Saytzeff rule.,BT4,write a short note on saytzeff rule.,3
"Recognize the purpose of the ""extern"" keyword in C programming?",BT1,recognize the purpose of the extern keyword in c programming?,0
Find Controllability and Observability of the system given by state model.,BT3,find controllability and observability of the system given by state model.,2
State the output of a given Bode plot representing a second-order system?,BT1,state the output of a given bode plot representing a second-order system?,0
Use Cachy's integral formula to evaluate 2z Cedzzï«ï²ï where C is the circle |z + 2| = 2.,BT3,use cachy's integral formula to evaluate 2z cedzzï«ï²ï where c is the circle |z + 2| = 2.,2
Analyze the continuous beam ABC shown in figure 5 by moment distribution method.,BT4,analyze the continuous beam abc shown in figure 5 by moment distribution method.,3
"Referring to the given poster design, explain in details the usage of elements and principles of arts. ",BT2,"referring to the given poster design, explain in details the usage of elements and principles of arts.",1
Modify the algorithm to improve the security of the encryption.,BT3,modify the algorithm to improve the security of the encryption.,2
In an I.,BT4,in an i.,3
Recall the characteristics of a DDoS (Distributed Denial of Service) attack?,BT1,recall the characteristics of a ddos (distributed denial of service) attack?,0
Explore the role of various fields in Page Level Protection.,BT1,explore the role of various fields in page level protection.,0
Calculate minimum specific energy and maximum discharge corresponding to specific energy of 1.,BT3,calculate minimum specific energy and maximum discharge corresponding to specific energy of 1.,2
Determine the z parameters for the circuit shown in Fig.,BT3,determine the z parameters for the circuit shown in fig.,2
What is voltage regulator? Write any two applications of voltage regulator.,BT1,what is voltage regulator? write any two applications of voltage regulator.,0
Assess the feasibility of using prefabricated modular construction techniques for rapid housing development.,BT5,assess the feasibility of using prefabricated modular construction techniques for rapid housing development.,4
Explain in brief a manufacturing process of urea from ammonium carbamate.,BT1,explain in brief a manufacturing process of urea from ammonium carbamate.,0
"Suppose heights of students follows normal distribution with mean 190 cm and variance 80 cm 2. In a school of 1000 students, how many would you except to be above 200 cm tall? (Given, z = 1.1180, A = 0.3686).",BT3,"suppose heights of students follows normal distribution with mean 190 cm and variance 80 cm 2. in a school of 1000 students, how many would you except to be above 200 cm tall? (given, z = 1.1180, a = 0.3686).",2
"Imagine you're designing a hydraulic system for heavy machinery. Explain how you would calculate pump flow rates, pressure losses, and actuator forces to ensure reliable performance and energy efficiency under varying operating conditions.",BT2,"imagine you're designing a hydraulic system for heavy machinery. explain how you would calculate pump flow rates, pressure losses, and actuator forces to ensure reliable performance and energy efficiency under varying operating conditions.",1
Apply the theories of cognitive psychology to design effective learning materials.,BT3,apply the theories of cognitive psychology to design effective learning materials.,2
Explain the function of an electromechanical relay and draw an interfacing diagram of relay with microcontroller 8051 with suitable drive circuit.,BT2,explain the function of an electromechanical relay and draw an interfacing diagram of relay with microcontroller 8051 with suitable drive circuit.,1
Explain the function of International Monetary Fund (IMF). ,BT2,explain the function of international monetary fund (imf).,1
To find out coefficient of permeability of clay the permeability test was carried out in a variable head permeameter having the diameter of thesample container to be 100 mm.,BT4,to find out coefficient of permeability of clay the permeability test was carried out in a variable head permeameter having the diameter of thesample container to be 100 mm.,3
Compare and contrast different approaches to privacy-preserving data mining techniques and evaluate their effectiveness in protecting sensitive information.,BT3,compare and contrast different approaches to privacy-preserving data mining techniques and evaluate their effectiveness in protecting sensitive information.,2
Discriminate between Brazing and Soldering.,BT4,discriminate between brazing and soldering.,3
How do you design an energy-efficient heating and cooling system for a building?,BT6,how do you design an energy-efficient heating and cooling system for a building?,5
What  is Software Architecture?,BT1,what  is software architecture?,0
Briefly list the different types of building maintenance. ,BT1,briefly list the different types of building maintenance.,0
How will you represent facts in propositional logic with an example?,BT3,how will you represent facts in propositional logic with an example?,2
Describe the main disadvantage of palm oil with an indigenous broad melting interval ranging from -20 to 50Â°C. Refined palm oil is further processed to improve its marketable value. Discuss this process in relation to the secondary products from refined palm oil. ,BT2,describe the main disadvantage of palm oil with an indigenous broad melting interval ranging from -20 to 50â°c. refined palm oil is further processed to improve its marketable value. discuss this process in relation to the secondary products from refined palm oil.,1
"With the help of circuit diagram and relevant waveforms, explain the operation of a 3-phase bridge rectifier with resistive load.",BT1,"with the help of circuit diagram and relevant waveforms, explain the operation of a 3-phase bridge rectifier with resistive load.",0
Can you integrate augmented reality features into a travel booking platform?,BT6,can you integrate augmented reality features into a travel booking platform?,5
How do you derive the equation for calculating the pressure of a gas?,BT6,how do you derive the equation for calculating the pressure of a gas?,5
Explain in details Fajans method for precipitaion titration.,BT3,explain in details fajans method for precipitaion titration.,2
Building Information Modeling (BIM) claims to enhance construction efficiency. Discuss THREE (3) benefits you would utilize and their importance to your project. ,BT2,building information modeling (bim) claims to enhance construction efficiency. discuss three (3) benefits you would utilize and their importance to your project.,1
Give the specifications and applications of SCR.,BT1,give the specifications and applications of scr.,0
Define about class and object in Java?,BT1,define about class and object in java?,0
"Imagine you're designing a heat exchanger for a chemical processing plant. Describe how you would calculate heat transfer coefficients, pressure drops, and surface areas to optimize heat exchange efficiency and fluid flow rates.",BT2,"imagine you're designing a heat exchanger for a chemical processing plant. describe how you would calculate heat transfer coefficients, pressure drops, and surface areas to optimize heat exchange efficiency and fluid flow rates.",1
What is pressure bulb? Explain its significance and draw a neat sketch of pressure bulb for concentrated point load.,BT1,what is pressure bulb? explain its significance and draw a neat sketch of pressure bulb for concentrated point load.,0
Explain in your own words what do you mean by the term economics?,BT2,explain in your own words what do you mean by the term economics?,1
